header.cases,/nfs/home/zhangruisi/Downloads/xs-env/XiangShan/SPEC06_EmuTasks_1208/lbm_140840000000_0.429260/simulator_err.txt
core_with_l2.core.backend.ctrlBlock.decode.slots_fire_0_1,23952581
core_with_l2.core.backend.ctrlBlock.decode.slots_fire_1_2,0
core_with_l2.core.backend.ctrlBlock.decode.slots_fire_2_3,8
core_with_l2.core.backend.ctrlBlock.decode.slots_fire_3_4,0
core_with_l2.core.backend.ctrlBlock.decode.slots_fire_4_5,3
core_with_l2.core.backend.ctrlBlock.decode.slots_fire_5_6,0
core_with_l2.core.backend.ctrlBlock.decode.slots_fire_6_7,3351371
core_with_l2.core.backend.ctrlBlock.decode.slots_fire_mean,0
core_with_l2.core.backend.ctrlBlock.decode.slots_fire_overflow,0
core_with_l2.core.backend.ctrlBlock.decode.slots_fire_sampled,27303963
core_with_l2.core.backend.ctrlBlock.decode.slots_fire_sum,20108254
core_with_l2.core.backend.ctrlBlock.decode.slots_fire_underflow,0
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_pure_0_1,0
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_pure_1_2,0
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_pure_2_3,8
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_pure_3_4,0
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_pure_4_5,3
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_pure_5_6,0
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_pure_6_7,3351371
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_pure_mean,5
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_pure_overflow,0
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_pure_sampled,3351382
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_pure_sum,20108254
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_pure_underflow,0
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_rough_0_1,4061
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_rough_1_2,0
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_rough_2_3,8
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_rough_3_4,0
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_rough_4_5,3
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_rough_5_6,0
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_rough_6_7,27299891
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_rough_mean,5
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_rough_overflow,0
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_rough_sampled,27303963
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_rough_sum,163799374
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_rough_underflow,0
core_with_l2.core.backend.ctrlBlock.decode.stall_cycle,23948520
core_with_l2.core.backend.ctrlBlock.decode.utilization,163799380
core_with_l2.core.backend.ctrlBlock.decode.waitInstr,143691120
core_with_l2.core.backend.ctrlBlock.dispatch2.in_fire,2334098
core_with_l2.core.backend.ctrlBlock.dispatch2.in_valid,4178964
core_with_l2.core.backend.ctrlBlock.dispatch2.out_fire,2334098
core_with_l2.core.backend.ctrlBlock.dispatch2.out_valid,2334098
core_with_l2.core.backend.ctrlBlock.dispatch2_1.in_fire,4715278
core_with_l2.core.backend.ctrlBlock.dispatch2_1.in_valid,7089766
