header.cases,/nfs/home/zhangruisi/Downloads/xs-env/XiangShan/SPEC06_EmuTasks_1208/mcf_191500000000_0.105600/simulator_err.txt
core_with_l2.core.backend.ctrlBlock.decode.slots_fire_0_1,57360990
core_with_l2.core.backend.ctrlBlock.decode.slots_fire_1_2,419036
core_with_l2.core.backend.ctrlBlock.decode.slots_fire_2_3,541936
core_with_l2.core.backend.ctrlBlock.decode.slots_fire_3_4,544806
core_with_l2.core.backend.ctrlBlock.decode.slots_fire_4_5,510288
core_with_l2.core.backend.ctrlBlock.decode.slots_fire_5_6,1125229
core_with_l2.core.backend.ctrlBlock.decode.slots_fire_6_7,6985842
core_with_l2.core.backend.ctrlBlock.decode.slots_fire_mean,0
core_with_l2.core.backend.ctrlBlock.decode.slots_fire_overflow,0
core_with_l2.core.backend.ctrlBlock.decode.slots_fire_sampled,67488127
core_with_l2.core.backend.ctrlBlock.decode.slots_fire_sum,52719675
core_with_l2.core.backend.ctrlBlock.decode.slots_fire_underflow,0
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_pure_0_1,0
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_pure_1_2,419036
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_pure_2_3,541936
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_pure_3_4,544806
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_pure_4_5,510288
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_pure_5_6,1125229
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_pure_6_7,6985842
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_pure_mean,5
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_pure_overflow,0
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_pure_sampled,10127137
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_pure_sum,52719675
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_pure_underflow,0
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_rough_0_1,2899049
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_rough_1_2,429221
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_rough_2_3,560932
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_rough_3_4,560408
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_rough_4_5,587078
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_rough_5_6,1154004
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_rough_6_7,61297435
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_rough_mean,5
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_rough_overflow,0
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_rough_sampled,67488127
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_rough_sum,379135251
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_rough_underflow,0
core_with_l2.core.backend.ctrlBlock.decode.stall_cycle,54461941
core_with_l2.core.backend.ctrlBlock.decode.utilization,379135251
core_with_l2.core.backend.ctrlBlock.decode.waitInstr,326415576
core_with_l2.core.backend.ctrlBlock.dispatch2.in_fire,23697897
core_with_l2.core.backend.ctrlBlock.dispatch2.in_valid,69437531
core_with_l2.core.backend.ctrlBlock.dispatch2.out_fire,23697897
core_with_l2.core.backend.ctrlBlock.dispatch2.out_valid,68390655
core_with_l2.core.backend.ctrlBlock.dispatch2_1.in_fire,19466873
core_with_l2.core.backend.ctrlBlock.dispatch2_1.in_valid,202987248
core_with_l2.core.backend.ctrlBlock.dispatch2_1.out_fire,21153156
core_with_l2.core.backend.ctrlBlock.dispatch2_1.out_valid,69461002
core_with_l2.core.backend.ctrlBlock.dispatch2_1.st_rs_not_ready_4,742
core_with_l2.core.backend.ctrlBlock.dispatch2_1.st_rs_not_ready_5,1280
core_with_l2.core.backend.ctrlBlock.dispatch2_1.sta_rs_not_ready_4,691
core_with_l2.core.backend.ctrlBlock.dispatch2_1.sta_rs_not_ready_5,1083
core_with_l2.core.backend.ctrlBlock.dispatch2_1.std_rs_not_ready_4,9
core_with_l2.core.backend.ctrlBlock.dispatch2_1.std_rs_not_ready_5,49
core_with_l2.core.backend.ctrlBlock.dispatch2_2.in_fire,0
