header.cases,17520000000_0.126350,191500000000_0.105600,231360000000_0.096362
core_with_l2.core.backend.ctrlBlock.decode.slots_fire_0_1,8768195,27778029,25861572
core_with_l2.core.backend.ctrlBlock.decode.slots_fire_1_2,204059,428279,446776
core_with_l2.core.backend.ctrlBlock.decode.slots_fire_2_3,210252,540404,678280
core_with_l2.core.backend.ctrlBlock.decode.slots_fire_3_4,2445,537779,1361777
core_with_l2.core.backend.ctrlBlock.decode.slots_fire_4_5,153922,518271,840349
core_with_l2.core.backend.ctrlBlock.decode.slots_fire_5_6,21081,1118097,1612122
core_with_l2.core.backend.ctrlBlock.decode.slots_fire_6_7,9192018,6832198,5763856
core_with_l2.core.backend.ctrlBlock.decode.slots_fire_mean,3,1,1
core_with_l2.core.backend.ctrlBlock.decode.slots_fire_overflow,0,0,0
core_with_l2.core.backend.ctrlBlock.decode.slots_fire_sampled,18551972,37753057,36564732
core_with_l2.core.backend.ctrlBlock.decode.slots_fire_sum,56505099,51779181,51893809
core_with_l2.core.backend.ctrlBlock.decode.slots_fire_underflow,0,0,0
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_pure_0_1,0,0,0
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_pure_1_2,204059,428279,446776
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_pure_2_3,210252,540404,678280
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_pure_3_4,2445,537779,1361777
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_pure_4_5,153922,518271,840349
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_pure_5_6,21081,1118097,1612122
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_pure_6_7,9192018,6832198,5763856
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_pure_mean,5,5,4
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_pure_overflow,0,0,0
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_pure_sampled,9783777,9975028,10703160
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_pure_sum,56505099,51779181,51893809
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_pure_underflow,0,0,0
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_rough_0_1,1655513,2841427,3178088
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_rough_1_2,220702,437052,453095
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_rough_2_3,223503,558391,697900
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_rough_3_4,19780,550863,1381904
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_rough_4_5,192600,595149,931632
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_rough_5_6,21374,1140078,1646786
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_rough_6_7,16218500,31630097,28275327
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_rough_mean,5,5,5
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_rough_overflow,0,0,0
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_rough_sampled,18551972,37753057,36564732
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_rough_sum,98915318,201067991,187607027
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_rough_underflow,0,0,0
core_with_l2.core.backend.ctrlBlock.decode.stall_cycle,7112682,24936602,22683485
core_with_l2.core.backend.ctrlBlock.decode.utilization,98915324,201067992,187607033
core_with_l2.core.backend.ctrlBlock.decode.waitInstr,42410219,149288810,135713224
core_with_l2.core.backend.ctrlBlock.dispatch2.in_fire,22493198,23303827,23676526
core_with_l2.core.backend.ctrlBlock.dispatch2.in_valid,24163496,42931756,37906062
core_with_l2.core.backend.ctrlBlock.dispatch2.out_fire,22493198,23303827,23676526
core_with_l2.core.backend.ctrlBlock.dispatch2.out_valid,22521713,41952429,36750928
core_with_l2.core.backend.ctrlBlock.dispatch2_1.in_fire,24070221,19194474,19099257
core_with_l2.core.backend.ctrlBlock.dispatch2_1.in_valid,55445967,112356397,110241695
core_with_l2.core.backend.ctrlBlock.dispatch2_1.out_fire,36183815,20852464,20664827
core_with_l2.core.backend.ctrlBlock.dispatch2_1.out_valid,40007621,45136396,44774392
core_with_l2.core.backend.ctrlBlock.dispatch2_1.st_rs_not_ready_4,26621,751,57
core_with_l2.core.backend.ctrlBlock.dispatch2_1.st_rs_not_ready_5,154297,1226,235
core_with_l2.core.backend.ctrlBlock.dispatch2_1.sta_rs_not_ready_4,6621,681,57
core_with_l2.core.backend.ctrlBlock.dispatch2_1.sta_rs_not_ready_5,13211,1030,215
core_with_l2.core.backend.ctrlBlock.dispatch2_1.std_rs_not_ready_4,19930,21,0
