Step 1: Address=14011712, Set=53, Tag=1710, Sets=[1710, None, None, None, None, None, None, None], Hit=0, reuse_dist=[]
Step 2: Address=14001408, Set=20, Tag=1709, Sets=[1709, None, None, None, None, None, None, None], Hit=0, reuse_dist=[]
Step 3: Address=14001280, Set=18, Tag=1709, Sets=[1709, None, None, None, None, None, None, None], Hit=0, reuse_dist=[]
Step 4: Address=14001344, Set=19, Tag=1709, Sets=[1709, None, None, None, None, None, None, None], Hit=0, reuse_dist=[]
Step 5: Address=14052544, Set=51, Tag=1715, Sets=[1715, None, None, None, None, None, None, None], Hit=0, reuse_dist=[]
Step 6: Address=14052608, Set=52, Tag=1715, Sets=[1715, None, None, None, None, None, None, None], Hit=0, reuse_dist=[]
Step 7: Address=36288, Set=55, Tag=4, Sets=[4, None, None, None, None, None, None, None], Hit=0, reuse_dist=[]
Step 8: Address=14052672, Set=53, Tag=1715, Sets=[1710, 1715, None, None, None, None, None, None], Hit=0, reuse_dist=[]
Step 9: Address=14011968, Set=57, Tag=1710, Sets=[1710, None, None, None, None, None, None, None], Hit=0, reuse_dist=[]
Step 10: Address=14001664, Set=24, Tag=1709, Sets=[1709, None, None, None, None, None, None, None], Hit=0, reuse_dist=[]
Step 11: Address=14001600, Set=23, Tag=1709, Sets=[1709, None, None, None, None, None, None, None], Hit=0, reuse_dist=[]
Step 12: Address=36544, Set=59, Tag=4, Sets=[4, None, None, None, None, None, None, None], Hit=0, reuse_dist=[]
Step 13: Address=36608, Set=60, Tag=4, Sets=[4, None, None, None, None, None, None, None], Hit=0, reuse_dist=[]
Step 14: Address=14052800, Set=55, Tag=1715, Sets=[4, 1715, None, None, None, None, None, None], Hit=0, reuse_dist=[]
Step 15: Address=36416, Set=57, Tag=4, Sets=[1710, 4, None, None, None, None, None, None], Hit=0, reuse_dist=[]
Step 16: Address=14012224, Set=61, Tag=1710, Sets=[1710, None, None, None, None, None, None, None], Hit=0, reuse_dist=[]
Step 17: Address=14001856, Set=27, Tag=1709, Sets=[1709, None, None, None, None, None, None, None], Hit=0, reuse_dist=[]
Step 18: Address=14052992, Set=58, Tag=1715, Sets=[1715, None, None, None, None, None, None, None], Hit=0, reuse_dist=[]
Step 19: Address=14012096, Set=59, Tag=1710, Sets=[4, 1710, None, None, None, None, None, None], Hit=0, reuse_dist=[]
Step 20: Address=14001984, Set=29, Tag=1709, Sets=[1709, None, None, None, None, None, None, None], Hit=0, reuse_dist=[]
Step 21: Address=14020544, Set=63, Tag=1711, Sets=[1711, None, None, None, None, None, None, None], Hit=0, reuse_dist=[]
Step 22: Address=14002048, Set=30, Tag=1709, Sets=[1709, None, None, None, None, None, None, None], Hit=0, reuse_dist=[]
Step 23: Address=14001920, Set=28, Tag=1709, Sets=[1709, None, None, None, None, None, None, None], Hit=0, reuse_dist=[]
Step 24: Address=14002112, Set=31, Tag=1709, Sets=[1709, None, None, None, None, None, None, None], Hit=0, reuse_dist=[]
Step 25: Address=14053248, Set=62, Tag=1715, Sets=[1715, None, None, None, None, None, None, None], Hit=0, reuse_dist=[]
Step 26: Address=15671296, Set=0, Tag=1913, Sets=[1913, None, None, None, None, None, None, None], Hit=0, reuse_dist=[]
Step 27: Address=14002176, Set=32, Tag=1709, Sets=[1709, None, None, None, None, None, None, None], Hit=0, reuse_dist=[]
Step 28: Address=14016640, Set=2, Tag=1711, Sets=[1711, None, None, None, None, None, None, None], Hit=0, reuse_dist=[]
Step 29: Address=14061504, Set=63, Tag=1716, Sets=[1711, 1716, None, None, None, None, None, None], Hit=0, reuse_dist=[]
Step 30: Address=15671488, Set=3, Tag=1913, Sets=[1913, None, None, None, None, None, None, None], Hit=0, reuse_dist=[]
Step 31: Address=14057472, Set=0, Tag=1716, Sets=[1913, 1716, None, None, None, None, None, None], Hit=0, reuse_dist=[]
Step 32: Address=14002368, Set=35, Tag=1709, Sets=[1709, None, None, None, None, None, None, None], Hit=0, reuse_dist=[]
Step 33: Address=15671552, Set=4, Tag=1913, Sets=[1913, None, None, None, None, None, None, None], Hit=0, reuse_dist=[]
Step 34: Address=14016832, Set=5, Tag=1711, Sets=[1711, None, None, None, None, None, None, None], Hit=0, reuse_dist=[]
Step 35: Address=14002432, Set=36, Tag=1709, Sets=[1709, None, None, None, None, None, None, None], Hit=0, reuse_dist=[]
Step 36: Address=15671680, Set=6, Tag=1913, Sets=[1913, None, None, None, None, None, None, None], Hit=0, reuse_dist=[]
Step 37: Address=14057664, Set=3, Tag=1716, Sets=[1913, 1716, None, None, None, None, None, None], Hit=0, reuse_dist=[]
Step 38: Address=15671744, Set=7, Tag=1913, Sets=[1913, None, None, None, None, None, None, None], Hit=0, reuse_dist=[]
Step 39: Address=14016960, Set=7, Tag=1711, Sets=[1913, 1711, None, None, None, None, None, None], Hit=0, reuse_dist=[]
Step 40: Address=15671808, Set=8, Tag=1913, Sets=[1913, None, None, None, None, None, None, None], Hit=0, reuse_dist=[]
Step 41: Address=14017088, Set=9, Tag=1711, Sets=[1711, None, None, None, None, None, None, None], Hit=0, reuse_dist=[]
