['astar_biglakes', 'astar_rivers', 'bwaves', 'bzip2_chicken', 'bzip2_chicken', 'bzip2_combined', 'bzip2_combined', 'bzip2_html', 'bzip2_html', 'bzip2_liberty', 'bzip2_program', 'bzip2_program', 'bzip2_program', 'bzip2_source', 'cactusADM', 'calculix', 'calculix', 'calculix', 'dealII', 'dealII', 'dealII', 'gamess_cytosine', 'gamess_cytosine', 'gamess_cytosine', 'gamess_cytosine', 'gamess_gradient', 'gamess_gradient', 'gamess_gradient', 'gamess_triazolium', 'gamess_triazolium', 'gamess_triazolium', 'gamess_triazolium', 'gcc_166', 'gcc_166', 'gcc_200', 'gcc_200', 'gcc_cpdecl', 'gcc_cpdecl', 'gcc_expr2', 'gcc_expr2', 'gcc_expr', 'gcc_expr', 'gcc_expr', 'gcc_g23', 'gcc_g23', 'gcc_s04', 'gcc_s04', 'gcc_scilab', 'gcc_scilab', 'gcc_typeck', 'gcc_typeck', 'GemsFDTD', 'GemsFDTD', 'gobmk_13x13', 'gobmk_13x13', 'gobmk_13x13', 'gobmk_nngs', 'gobmk_nngs', 'gobmk_nngs', 'gobmk_score2', 'gobmk_score2', 'gobmk_score2', 'gobmk_trevorc', 'gobmk_trevorc', 'gobmk_trevorc', 'gobmk_trevorc', 'gobmk_trevord', 'gobmk_trevord', 'gobmk_trevord', 'gromacs', 'gromacs', 'gromacs', 'gromacs', 'h264ref_foreman.baseline', 'h264ref_foreman.baseline', 'h264ref_foreman.baseline', 'h264ref_foreman.main', 'h264ref_foreman.main', 'h264ref_foreman.main', 'h264ref_foreman.main', 'h264ref_sss', 'h264ref_sss', 'h264ref_sss', 'h264ref_sss', 'hmmer_nph3', 'hmmer_nph3', 'hmmer_retro', 'hmmer_retro', 'hmmer_retro', 'hmmer_retro', 'lbm', 'leslie3d', 'leslie3d', 'libquantum', 'libquantum', 'mcf', 'mcf', 'mcf', 'milc', 'milc', 'milc', 'namd', 'namd', 'namd', 'namd', 'namd', 'namd', 'omnetpp', 'perlbench_checkspam', 'perlbench_checkspam', 'perlbench_checkspam', 'perlbench_diffmail', 'perlbench_splitmail', 'povray', 'povray', 'povray', 'povray', 'sjeng', 'sjeng', 'sjeng', 'soplex_pds-50', 'soplex_pds-50', 'soplex_pds-50', 'soplex_pds-50', 'soplex_ref', 'sphinx3', 'sphinx3', 'sphinx3', 'sphinx3', 'tonto', 'tonto', 'tonto', 'tonto', 'wrf', 'wrf', 'wrf', 'wrf', 'xalancbmk', 'xalancbmk', 'xalancbmk', 'xalancbmk', 'xalancbmk', 'xalancbmk', 'zeusmp', 'zeusmp', 'zeusmp', 'zeusmp', 'zeusmp']
=================== Coverage ==================
           astar_biglakes coverage: 0.39
             astar_rivers coverage: 0.36
                   bwaves coverage: 0.71
            bzip2_chicken coverage: 0.45
           bzip2_combined coverage: 0.34
               bzip2_html coverage: 0.46
            bzip2_liberty coverage: 0.33
            bzip2_program coverage: 0.37
             bzip2_source coverage: 0.31
                cactusADM coverage: 0.67
                 calculix coverage: 0.39
                   dealII coverage: 0.33
          gamess_cytosine coverage: 0.31
          gamess_gradient coverage: 0.30
        gamess_triazolium coverage: 0.37
                  gcc_166 coverage: 0.31
                  gcc_200 coverage: 0.31
               gcc_cpdecl coverage: 0.33
                gcc_expr2 coverage: 0.32
                 gcc_expr coverage: 0.43
                  gcc_g23 coverage: 0.31
                  gcc_s04 coverage: 0.32
               gcc_scilab coverage: 0.30
               gcc_typeck coverage: 0.38
                 GemsFDTD coverage: 0.47
              gobmk_13x13 coverage: 0.34
               gobmk_nngs coverage: 0.36
             gobmk_score2 coverage: 0.32
            gobmk_trevorc coverage: 0.34
            gobmk_trevord coverage: 0.34
                  gromacs coverage: 0.33
 h264ref_foreman.baseline coverage: 0.31
     h264ref_foreman.main coverage: 0.31
              h264ref_sss coverage: 0.31
               hmmer_nph3 coverage: 0.47
              hmmer_retro coverage: 0.39
                      lbm coverage: 0.40
                 leslie3d coverage: 0.36
               libquantum coverage: 0.36
                      mcf coverage: 0.40
                     milc coverage: 0.33
                     namd coverage: 0.33
                  omnetpp coverage: 0.36
      perlbench_checkspam coverage: 0.37
       perlbench_diffmail coverage: 0.59
      perlbench_splitmail coverage: 0.48
                   povray coverage: 0.31
                    sjeng coverage: 0.39
            soplex_pds-50 coverage: 0.30
               soplex_ref coverage: 0.33
                  sphinx3 coverage: 0.33
                    tonto coverage: 0.35
                      wrf coverage: 0.34
                xalancbmk coverage: 0.32
                   zeusmp coverage: 0.35

==================== Score ===================
          astar: 53.266, 17.755
         bwaves: 51.857, 17.286
          bzip2: 24.998,  8.333
      cactusADM: 44.477, 14.826
       calculix: 16.470,  5.490
         dealII: 55.027, 18.342
         gamess: 44.297, 14.766
            gcc: 49.434, 16.478
       GemsFDTD: 27.705,  9.235
          gobmk: 30.566, 10.189
        gromacs: 28.736,  9.579
        h264ref: 56.791, 18.930
          hmmer: 38.838, 12.946
            lbm: 79.747, 26.582
       leslie3d: 41.881, 13.960
     libquantum: 129.501, 43.167
            mcf: 48.349, 16.116
           milc: 28.257,  9.419
           namd: 37.432, 12.477
        omnetpp: 34.856, 11.619
      perlbench: 35.439, 11.813
         povray: 51.506, 17.169
          sjeng: 31.134, 10.378
         soplex: 48.645, 16.215
        sphinx3: 54.061, 18.020
          tonto: 30.247, 10.082
            wrf: 29.764,  9.921
      xalancbmk: 66.681, 22.227
         zeusmp: 44.442, 14.814
SPEC2006@3GHz: 41.761
SPEC2006/GHz:  13.920

********* SPECINT 2006 *********
  400.perlbench: 35.439, 11.813
      401.bzip2: 24.998,  8.333
        403.gcc: 49.434, 16.478
        429.mcf: 48.349, 16.116
      445.gobmk: 30.566, 10.189
      456.hmmer: 38.838, 12.946
      458.sjeng: 31.134, 10.378
 462.libquantum: 129.501, 43.167
    464.h264ref: 56.791, 18.930
    471.omnetpp: 34.856, 11.619
      473.astar: 53.266, 17.755
  483.xalancbmk: 66.681, 22.227
SPECint2006@3GHz: 45.123
SPECint2006/GHz:  15.041

********* SPECFP  2006 *********
     410.bwaves: 51.857, 17.286
     416.gamess: 44.297, 14.766
       433.milc: 28.257,  9.419
     434.zeusmp: 44.442, 14.814
    435.gromacs: 28.736,  9.579
  436.cactusADM: 44.477, 14.826
   437.leslie3d: 41.881, 13.960
       444.namd: 37.432, 12.477
     447.dealII: 55.027, 18.342
     450.soplex: 48.645, 16.215
     453.povray: 51.506, 17.169
   454.Calculix: 16.470,  5.490
   459.GemsFDTD: 27.705,  9.235
      465.tonto: 30.247, 10.082
        470.lbm: 79.747, 26.582
        481.wrf: 29.764,  9.921
    482.sphinx3: 54.061, 18.020
SPECfp2006@3GHz: 39.540
SPECfp2006/GHz: 13.180

Number of Checkpoints: 148
